Joueur,Club,Buts,Matchs
"","N/A","3","0.83"
"","N/A","6","0.76"
"","N/A","7","0.52"
"","N/A","3","0.65"
"","N/A","4","0.45"
"","N/A","0","0.54"
"","N/A","1","0.45"
"","N/A","1","0.43"
"","N/A","2","0.44"
"","N/A","2","0.38"
"","N/A","1","0.35"
"","N/A","2","0.43"
"","N/A","1","0.34"
"","N/A","4","0.34"
"","N/A","0","0.38"
"","N/A","3","0.31"
"","N/A","4","0.33"
"","N/A","0","0.33"
"","N/A","0","0.31"
"","N/A","1","0.32"
"","N/A","1","0.26"
"","N/A","1","0.39"
"","N/A","2","0.37"
"","N/A","4","0.30"
"","N/A","2","0.29"
"","N/A","0","0.23"
"","N/A","3","0.24"
"","N/A","4","0.40"
"","N/A","1","0.24"
"","N/A","0","0.20"
